x,y,species logistic values
639.0,639.0,7.3410844E-4
640.0,640.0,0.052727815
641.0,641.0,0.07473911
642.0,642.0,0.27073413
643.0,643.0,5.594367E-4
644.0,644.0,0.0040281746
645.0,645.0,3.8012844E-5
646.0,646.0,0.009912695
647.0,647.0,2.910394E-4
648.0,648.0,0.009901444
649.0,649.0,0.001742997
650.0,650.0,8.363889E-8
651.0,651.0,2.5684374E-6
652.0,652.0,0.0033446113
653.0,653.0,8.885981E-4
654.0,654.0,0.0059320857
655.0,655.0,0.36105576
656.0,656.0,0.015835842
657.0,657.0,0.026687963
658.0,658.0,0.1568917
659.0,659.0,0.429702
660.0,660.0,8.1227726E-4
661.0,661.0,0.12754688
662.0,662.0,0.23855276
663.0,663.0,0.12727746
664.0,664.0,0.07364779
665.0,665.0,0.17709798
666.0,666.0,0.12818933
667.0,667.0,0.32367387
668.0,668.0,0.37092167
669.0,669.0,2.4029188E-4
670.0,670.0,5.324286E-4
671.0,671.0,1.0106022E-4
672.0,672.0,0.019282015
673.0,673.0,0.010103586
674.0,674.0,4.7103604E-4
675.0,675.0,0.0014422019
676.0,676.0,0.00850058
677.0,677.0,0.040075
678.0,678.0,0.24704115
679.0,679.0,0.070849314
680.0,680.0,0.07139631
681.0,681.0,0.0014034623
682.0,682.0,0.10603239
683.0,683.0,0.26887447
684.0,684.0,0.08076212
685.0,685.0,0.06551442
686.0,686.0,0.10323356
687.0,687.0,0.13036148
688.0,688.0,0.12738033
689.0,689.0,1.8901388E-4
690.0,690.0,0.00927696
691.0,691.0,0.020747347
692.0,692.0,6.9280935E-4
693.0,693.0,1.5466842E-6
694.0,694.0,4.3685802E-7
695.0,695.0,9.454426E-13
696.0,696.0,0.026797952
697.0,697.0,0.016323222
698.0,698.0,0.011935725
699.0,699.0,7.891514E-5
700.0,700.0,1.1954275E-4
701.0,701.0,3.256662E-5
702.0,702.0,0.07463692
703.0,703.0,0.0013271166
704.0,704.0,4.685436E-4
705.0,705.0,0.37923408
706.0,706.0,1.4950588E-4
707.0,707.0,2.5999841E-5
708.0,708.0,1.0188621E-6
709.0,709.0,9.979239E-4
710.0,710.0,0.052285317
711.0,711.0,0.031194177
712.0,712.0,0.004616723
713.0,713.0,0.0014578707
714.0,714.0,0.024263741
715.0,715.0,0.00826002
716.0,716.0,0.012133315
717.0,717.0,0.0030335078
718.0,718.0,0.0012065858
719.0,719.0,6.542876E-7
720.0,720.0,1.1069632E-7
721.0,721.0,0.0044939904
722.0,722.0,5.8348705E-6
723.0,723.0,0.003969991
724.0,724.0,0.014566497
725.0,725.0,0.039787248
726.0,726.0,8.993187E-4
727.0,727.0,1.8910647E-4
728.0,728.0,7.193401E-6
729.0,729.0,0.0026491093
730.0,730.0,9.1115675E-5
731.0,731.0,6.0826602E-5
732.0,732.0,0.004366723
733.0,733.0,0.0017139339
734.0,734.0,0.022676008
735.0,735.0,2.5238736E-5
736.0,736.0,0.12807575
737.0,737.0,0.00578674
738.0,738.0,0.007008885
739.0,739.0,3.7130582E-7
740.0,740.0,0.0030986439
741.0,741.0,1.08376535E-5
742.0,742.0,3.7559238E-4
743.0,743.0,1.2338984E-4
744.0,744.0,2.2814817E-4
745.0,745.0,0.09409345
746.0,746.0,0.17635806
747.0,747.0,1.64291E-6
748.0,748.0,6.1597752E-6
749.0,749.0,0.047567066
750.0,750.0,1.8983916E-4
751.0,751.0,0.06223506
752.0,752.0,0.09286218
